ID,Longitude,Latitude
1,-89,56.875
2,-88.875,56.875
3,-89.25,56.75
4,-89.125,56.75
5,-89,56.75
6,-88.875,56.75
7,-88.75,56.75
8,-89.375,56.625
9,-89.25,56.625
10,-89.125,56.625
11,-89,56.625
12,-88.875,56.625
13,-88.75,56.625
14,-88.625,56.625
15,-88.5,56.625
16,-88.375,56.625
17,-89.625,56.5
18,-89.5,56.5
19,-89.375,56.5
20,-89.25,56.5
21,-89.125,56.5
22,-89,56.5
23,-88.875,56.5
24,-88.75,56.5
25,-88.625,56.5
26,-88.5,56.5
27,-88.375,56.5
28,-88.25,56.5
29,-88.125,56.5
30,-88,56.5
31,-89.875,56.375
32,-89.75,56.375
33,-89.625,56.375
34,-89.5,56.375
35,-89.375,56.375
36,-89.25,56.375
37,-89.125,56.375
38,-89,56.375
39,-88.875,56.375
40,-88.75,56.375
41,-88.625,56.375
42,-88.5,56.375
43,-88.375,56.375
44,-88.25,56.375
45,-88.125,56.375
46,-88,56.375
47,-87.875,56.375
48,-90,56.25
49,-89.875,56.25
50,-89.75,56.25
51,-89.625,56.25
52,-89.5,56.25
53,-89.375,56.25
54,-89.25,56.25
55,-89.125,56.25
56,-89,56.25
57,-88.875,56.25
58,-88.75,56.25
59,-88.625,56.25
60,-88.5,56.25
61,-88.375,56.25
62,-88.25,56.25
63,-88.125,56.25
64,-88,56.25
65,-87.875,56.25
66,-87.75,56.25
67,-90.25,56.125
68,-90.125,56.125
69,-90,56.125
70,-89.875,56.125
71,-89.75,56.125
72,-89.625,56.125
73,-89.5,56.125
74,-89.375,56.125
75,-89.25,56.125
76,-89.125,56.125
77,-89,56.125
78,-88.875,56.125
79,-88.75,56.125
80,-88.625,56.125
81,-88.5,56.125
82,-88.375,56.125
83,-88.25,56.125
84,-88.125,56.125
85,-88,56.125
86,-87.875,56.125
87,-87.75,56.125
88,-87.625,56.125
89,-90.375,56
90,-90.25,56
91,-90.125,56
92,-90,56
93,-89.875,56
94,-89.75,56
95,-89.625,56
96,-89.5,56
97,-89.375,56
98,-89.25,56
99,-89.125,56
100,-89,56
101,-88.875,56
102,-88.75,56
103,-88.625,56
104,-88.5,56
105,-88.375,56
106,-88.25,56
107,-88.125,56
108,-88,56
109,-87.875,56
110,-87.75,56
111,-87.625,56
112,-87.5,56
113,-87.375,56
114,-90.625,55.875
115,-90.5,55.875
116,-90.375,55.875
117,-90.25,55.875
118,-90.125,55.875
119,-90,55.875
120,-89.875,55.875
121,-89.75,55.875
122,-89.625,55.875
123,-89.5,55.875
124,-89.375,55.875
125,-89.25,55.875
126,-89.125,55.875
127,-89,55.875
128,-88.875,55.875
129,-88.75,55.875
130,-88.625,55.875
131,-88.5,55.875
132,-88.375,55.875
133,-88.25,55.875
134,-88.125,55.875
135,-88,55.875
136,-87.875,55.875
137,-87.75,55.875
138,-87.625,55.875
139,-87.5,55.875
140,-87.375,55.875
141,-87.25,55.875
142,-87.125,55.875
143,-87,55.875
144,-86.875,55.875
145,-86.75,55.875
146,-86.625,55.875
147,-90.75,55.75
148,-90.625,55.75
149,-90.5,55.75
150,-90.375,55.75
151,-90.25,55.75
152,-90.125,55.75
153,-90,55.75
154,-89.875,55.75
155,-89.75,55.75
156,-89.625,55.75
157,-89.5,55.75
158,-89.375,55.75
159,-89.25,55.75
160,-89.125,55.75
161,-89,55.75
162,-88.875,55.75
163,-88.75,55.75
164,-88.625,55.75
165,-88.5,55.75
166,-88.375,55.75
167,-88.25,55.75
168,-88.125,55.75
169,-88,55.75
170,-87.875,55.75
171,-87.75,55.75
172,-87.625,55.75
173,-87.5,55.75
174,-87.375,55.75
175,-87.25,55.75
176,-87.125,55.75
177,-87,55.75
178,-86.875,55.75
179,-86.75,55.75
180,-86.625,55.75
181,-86.5,55.75
182,-86.375,55.75
183,-86.25,55.75
184,-91,55.625
185,-90.875,55.625
186,-90.75,55.625
187,-90.625,55.625
188,-90.5,55.625
189,-90.375,55.625
190,-90.25,55.625
191,-90.125,55.625
192,-90,55.625
193,-89.875,55.625
194,-89.75,55.625
195,-89.625,55.625
196,-89.5,55.625
197,-89.375,55.625
198,-89.25,55.625
199,-89.125,55.625
200,-89,55.625
201,-88.875,55.625
202,-88.75,55.625
203,-88.625,55.625
204,-88.5,55.625
205,-88.375,55.625
206,-88.25,55.625
207,-88.125,55.625
208,-88,55.625
209,-87.875,55.625
210,-87.75,55.625
211,-87.625,55.625
212,-87.5,55.625
213,-87.375,55.625
214,-87.25,55.625
215,-87.125,55.625
216,-87,55.625
217,-86.875,55.625
218,-86.75,55.625
219,-86.625,55.625
220,-86.5,55.625
221,-86.375,55.625
222,-86.25,55.625
223,-86.125,55.625
224,-86,55.625
225,-85.875,55.625
226,-85.75,55.625
227,-91.125,55.5
228,-91,55.5
229,-90.875,55.5
230,-90.75,55.5
231,-90.625,55.5
232,-90.5,55.5
233,-90.375,55.5
234,-90.25,55.5
235,-90.125,55.5
236,-90,55.5
237,-89.875,55.5
238,-89.75,55.5
239,-89.625,55.5
240,-89.5,55.5
241,-89.375,55.5
242,-89.25,55.5
243,-89.125,55.5
244,-89,55.5
245,-88.875,55.5
246,-88.75,55.5
247,-88.625,55.5
248,-88.5,55.5
249,-88.375,55.5
250,-88.25,55.5
251,-88.125,55.5
252,-88,55.5
253,-87.875,55.5
254,-87.75,55.5
255,-87.625,55.5
256,-87.5,55.5
257,-87.375,55.5
258,-87.25,55.5
259,-87.125,55.5
260,-87,55.5
261,-86.875,55.5
262,-86.75,55.5
263,-86.625,55.5
264,-86.5,55.5
265,-86.375,55.5
266,-86.25,55.5
267,-86.125,55.5
268,-86,55.5
269,-85.875,55.5
270,-85.75,55.5
271,-85.625,55.5
272,-85.5,55.5
273,-91.375,55.375
274,-91.25,55.375
275,-91.125,55.375
276,-91,55.375
277,-90.875,55.375
278,-90.75,55.375
279,-90.625,55.375
280,-90.5,55.375
281,-90.375,55.375
282,-90.25,55.375
283,-90.125,55.375
284,-90,55.375
285,-89.875,55.375
286,-89.75,55.375
287,-89.625,55.375
288,-89.5,55.375
289,-89.375,55.375
290,-89.25,55.375
291,-89.125,55.375
292,-89,55.375
293,-88.875,55.375
294,-88.75,55.375
295,-88.625,55.375
296,-88.5,55.375
297,-88.375,55.375
298,-88.25,55.375
299,-88.125,55.375
300,-88,55.375
301,-87.875,55.375
